484	81.20%	0.01%	0.01%	0.00%
485	81.95%	0.01%	0.01%	0.00%
486	82.68%	0.02%	0.01%	0.00%
487	83.39%	0.02%	0.01%	0.00%
488	84.09%	0.04%	0.01%	0.00%
489	84.76%	0.06%	0.01%	0.00%
490	85.41%	0.10%	0.01%	0.00%
491	86.05%	0.16%	0.01%	0.00%
492	86.68%	0.26%	0.01%	0.00%
493	87.31%	0.44%	0.01%	0.00%
494	87.94%	0.74%	0.01%	0.01%
495	88.56%	1.23%	0.01%	0.01%
496	89.15%	2.01%	0.01%	0.01%
497	89.71%	3.24%	0.01%	0.01%
498	90.21%	5.07%	0.01%	0.01%
499	90.68%	7.70%	0.01%	0.01%
500	91.10%	11.30%	0.01%	0.01%
501	91.67%	16.01%	0.01%	0.00%
502	92.23%	21.84%	0.01%	0.00%
503	92.80%	28.68%	0.01%	0.01%
504	93.40%	36.27%	0.01%	0.01%
505	94.01%	44.24%	0.01%	0.01%
506	94.63%	52.17%	0.01%	0.01%
507	95.24%	59.65%	0.01%	0.01%
508	95.83%	66.37%	0.01%	0.01%
509	96.38%	72.15%	0.01%	0.01%
510	96.89%	76.96%	0.01%	0.01%
511	97.36%	80.87%	0.01%	0.00%
512	97.79%	84.04%	0.01%	0.00%
513	98.18%	86.66%	0.01%	0.01%
514	98.54%	88.90%	0.01%	0.01%
515	98.88%	90.87%	0.01%	0.01%
516	99.19%	92.66%	0.01%	0.01%
517	99.47%	94.29%	0.01%	0.01%
518	99.71%	95.77%	0.01%	0.01%
519	99.89%	97.11%	0.01%	0.01%
520	100.00%	98.28%	0.01%	0.01%
521	99.56%	98.90%	0.01%	0.01%
522	98.92%	99.36%	0.01%	0.01%
523	97.94%	99.68%	0.01%	0.01%
524	96.49%	99.88%	0.01%	0.01%
525	94.36%	99.98%	0.01%	0.01%
526	91.41%	100.00%	0.01%	0.01%
527	87.48%	99.95%	0.01%	0.01%
528	82.53%	99.86%	0.01%	0.01%
529	76.59%	99.74%	0.01%	0.01%
530	69.80%	99.62%	0.01%	0.01%
531	62.41%	99.52%	0.01%	0.01%
532	54.72%	99.46%	0.01%	0.01%
533	47.04%	99.43%	0.01%	0.00%
534	39.68%	99.44%	0.01%	0.00%
535	32.89%	99.48%	0.01%	0.01%
536	26.84%	99.55%	0.01%	0.02%
537	21.61%	99.62%	0.01%	0.03%
538	17.23%	99.69%	0.01%	0.05%
539	13.62%	99.75%	0.01%	0.06%
540	10.72%	99.80%	0.01%	0.06%
541	8.40%	99.58%	0.01%	0.06%
542	6.57%	99.34%	0.01%	0.05%
543	5.14%	99.10%	0.01%	0.04%
544	4.03%	98.84%	0.01%	0.03%
545	3.16%	98.57%	0.01%	0.02%
546	2.49%	98.29%	0.01%	0.01%
547	1.96%	97.99%	0.01%	0.00%
548	1.55%	97.66%	0.01%	0.00%
549	1.24%	97.30%	0.01%	0.01%
550	1.00%	96.91%	0.01%	0.01%
551	0.81%	96.47%	0.01%	0.01%
552	0.67%	96.00%	0.01%	0.01%
553	0.56%	95.49%	0.01%	0.01%
554	0.47%	94.94%	0.01%	0.01%
555	0.40%	94.34%	0.01%	0.01%
556	0.34%	93.69%	0.01%	0.01%
557	0.30%	93.00%	0.01%	0.01%
558	0.26%	92.27%	0.01%	0.01%
559	0.22%	91.51%	0.01%	0.01%
560	0.20%	90.74%	0.01%	0.01%
561	0.18%	89.92%	0.01%	0.01%
562	0.16%	89.10%	0.01%	0.01%
563	0.14%	88.30%	0.01%	0.01%
564	0.13%	87.51%	0.01%	0.01%
565	0.11%	86.77%	0.01%	0.01%
566	0.10%	86.08%	0.01%	0.01%
567	0.09%	85.46%	0.01%	0.01%
568	0.09%	84.93%	0.00%	0.01%
569	0.08%	84.52%	0.00%	0.01%
570	0.07%	84.23%	0.00%	0.01%
571	0.06%	84.08%	0.00%	0.01%
572	0.06%	84.06%	0.00%	0.01%
573	0.05%	84.14%	0.00%	0.01%
574	0.05%	84.30%	0.00%	0.01%
575	0.04%	84.49%	0.01%	0.01%
